Player,Tm,PTS,+/-,PIM,EVG,PPG,SHG,EVA,PPA,SHA,S,S%
Justin Danforth,CBJ,14,-5,10,10,0,0,3,1,0,72,13.9
Laurent Dauphin,MTL,12,-10,25,4,0,0,8,0,0,50,8
Jeremy Davies,NSH,2,-5,2,0,0,0,2,0,0,5,0
Sean Day,TBL,0,-2,0,0,0,0,0,0,0,2,0
Calvin de Haan,CHI,8,-21,33,4,0,0,4,0,0,107,3.7
Chase De Leo,NJD,0,-1,0,0,0,0,0,0,0,2,0
Anthony DeAngelo,CAR,51,30,56,8,2,0,23,18,0,151,6.6
Alex DeBrincat,CHI,78,-13,19,27,14,0,23,14,0,270,15.2
Jake DeBrusk,BOS,42,6,10,22,3,0,16,1,0,184,13.6
Danny DeKeyser,DET,11,-8,26,0,0,0,11,0,0,57,0
Michael Del Zotto,OTT,13,-4,4,2,1,0,9,1,0,35,8.6
Ty Dellandrea,DAL,0,-1,0,0,0,0,0,0,0,1,0
Dylan DeMelo,WPG,13,10,28,0,0,1,11,0,1,78,1.3
Grigori Denisenko,FLA,0,0,2,0,0,0,0,0,0,3,0
Travis Dermott,TOT,7,9,14,2,0,0,5,0,0,46,4.3
Travis Dermott,TOR,5,4,14,1,0,0,4,0,0,37,2.7
Travis Dermott,VAN,2,5,0,1,0,0,1,0,0,9,11.1
Nicolas Deslauriers,TOT,13,-11,113,7,0,1,5,0,0,90,8.9
Nicolas Deslauriers,ANA,10,-9,90,4,0,1,5,0,0,72,6.9
Nicolas Deslauriers,MIN,3,-2,23,3,0,0,0,0,0,18,16.7
Connor Dewar,MIN,6,-4,25,2,0,0,3,1,0,44,4.5
Jason Dickinson,VAN,11,-1,19,5,0,0,6,0,0,66,7.6
Brenden Dillon,WPG,20,16,67,3,0,0,17,0,0,85,3.5
Cam Dineen,ARI,7,-16,4,0,0,0,7,0,0,52,0
Noah Dobson,NYI,51,-3,18,10,3,0,19,19,0,190,6.8
Max Domi,TOT,39,10,55,11,0,0,24,4,0,104,10.6
Max Domi,CBJ,32,2,37,9,0,0,19,4,0,77,11.7
Max Domi,CAR,7,8,18,2,0,0,5,0,0,27,7.4
Ryan Donato,SEA,31,-13,40,15,1,0,15,0,0,159,10.1
Joonas Donskoi,SEA,22,-10,14,2,0,0,16,3,1,89,2.2
Pavel Dorofeyev,VEG,0,-1,2,0,0,0,0,0,0,1,0
Drew Doughty,LAK,31,4,30,3,4,0,15,9,0,99,7.1
Nic Dowd,WSH,24,10,44,9,0,1,13,1,0,90,11.1
Justin Dowling,VAN,4,-3,2,2,0,0,2,0,0,17,11.8
Leon Draisaitl,EDM,110,17,40,30,24,1,38,17,0,278,19.8
Hunter Drew,ANA,0,0,5,0,0,0,0,0,0,0,
Sheldon Dries,VAN,3,-3,0,1,1,0,1,0,0,17,11.8
Jonathan Drouin,MTL,20,-9,23,6,0,0,10,4,0,62,9.7
Jack Drury,CAR,2,3,2,2,0,0,0,0,0,6,33.3
Jamie Drysdale,ANA,32,-26,16,4,0,0,16,12,0,137,2.9
Dillon Dube,CGY,32,1,20,15,2,1,11,1,2,143,12.6
Pierre-Luc Dubois,WPG,60,-6,106,13,15,0,28,4,0,233,12
Matt Duchene,NSH,86,6,38,27,16,0,30,13,0,228,18.9
Anthony Duclair,FLA,58,19,30,22,9,0,15,12,0,167,18.6
Walker Duehr,CGY,0,0,0,0,0,0,0,0,0,0,
Brandon Duhaime,MIN,17,-2,122,6,0,0,11,0,0,91,6.6
Mathew Dumba,MIN,27,9,47,6,1,0,16,4,0,116,6
Brian Dumoulin,PIT,18,24,24,3,0,0,15,0,0,91,3.3
Vince Dunn,SEA,35,-21,63,5,2,0,19,9,0,121,5.8
Sean Durzi,LAK,27,-9,55,1,2,0,10,13,1,119,2.5
Christian Dvorak,MTL,33,-19,24,10,1,0,18,4,0,87,12.6
Ryan Dzingel,TOT,8,-5,35,5,0,0,3,0,0,32,15.6
Ryan Dzingel,ARI,7,-3,35,4,0,0,3,0,0,23,17.4
